source,target,weight,type
1501,1895,122,undirected
1501,1896,107,undirected
1501,2069,83,undirected
1501,2170,83,undirected
1501,2186,21,undirected
1501,2197,88,undirected
1501,2200,107,undirected
1501,2258,83,undirected
1501,2492,42,undirected
1501,25,26,undirected
1501,2644,83,undirected
1501,2660,21,undirected
1501,2666,122,undirected
1501,2667,157,undirected
1501,2670,107,undirected
1501,2751,83,undirected
1501,2785,88,undirected
1501,2787,87,undirected
1501,2788,107,undirected
1501,3274,42,undirected
1501,3283,107,undirected
1501,3288,4,undirected
1501,33,42,undirected
1501,36,83,undirected
1501,46,21,undirected
1501,50,15,undirected
1501,51,42,undirected
1501,52,88,undirected
1501,53,97,undirected
1501,54,107,undirected
1501,58,157,undirected
1501,61,97,undirected
1501,62,9,undirected
1501,63,68,undirected
1501,68,71,undirected
1501,71,122,undirected
1501,727,107,undirected
1501,729,9,undirected
1501,73,87,undirected
1501,77,4,undirected
1501,81,94,undirected
1501,832,83,undirected
1501,84,82,undirected
1501,96,13,undirected
1501,98,13,undirected
1503,1509,98,undirected
1503,1529,216,undirected
1503,1536,98,undirected
1503,1572,127,undirected
1503,1573,111,undirected
1503,1575,111,undirected
1503,1576,101,undirected
1503,1579,110,undirected
1503,1697,98,undirected
1503,17,13,undirected
1503,1721,127,undirected
1503,1722,95,undirected
1503,1808,98,undirected
1503,1821,127,undirected
1503,1824,216,undirected
1503,1858,98,undirected
1503,1895,127,undirected
1503,1896,216,undirected
1503,2069,98,undirected
1503,2170,98,undirected
1503,2186,15,undirected
1503,2197,95,undirected
1503,2200,216,undirected
1503,2258,98,undirected
1503,2492,50,undirected
1503,25,28,undirected
1503,2644,98,undirected
1503,2660,15,undirected
1503,2666,127,undirected
1503,2667,107,undirected
1503,2670,216,undirected
1503,2751,98,undirected
1503,2785,95,undirected
1503,2787,110,undirected
1503,2788,216,undirected
1503,3274,50,undirected
1503,3283,216,undirected
1503,3288,5,undirected
1503,33,50,undirected
1503,36,98,undirected
1503,46,15,undirected
1503,50,25,undirected
1503,51,50,undirected
1503,52,95,undirected
1503,53,111,undirected
1503,54,216,undirected
1503,58,107,undirected
1503,61,111,undirected
1503,62,3,undirected
1503,63,68,undirected
1503,68,101,undirected
1503,71,127,undirected
1503,727,216,undirected
1503,729,3,undirected
1503,73,110,undirected
1503,77,5,undirected
1503,78,12,undirected
1503,81,97,undirected
1503,832,98,undirected
1503,84,97,undirected
1503,96,4,undirected
1503,98,22,undirected
1509,1529,98,undirected
1509,1536,149,undirected
1509,1572,102,undirected
1509,1573,65,undirected
1509,1575,65,undirected
1509,1576,74,undirected
1509,1579,86,undirected
1509,1697,149,undirected
1509,17,9,undirected
1509,1721,102,undirected
1509,1722,64,undirected
1509,1808,149,undirected
1509,1821,102,undirected
1509,1824,98,undirected
1509,1858,149,undirected
1509,1895,102,undirected
1509,1896,98,undirected
1509,2069,149,undirected
1509,2170,149,undirected
1509,2186,21,undirected
1509,2197,64,undirected
1509,2200,98,undirected
1509,2258,149,undirected
1509,2492,12,undirected
1509,25,11,undirected
1509,2644,149,undirected
1509,2660,21,undirected
1509,2666,102,undirected
1509,2667,83,undirected
1509,2670,98,undirected
1509,2751,149,undirected
1509,2785,64,undirected
1509,2787,86,undirected
1509,2788,98,undirected
1509,3274,12,undirected
1509,3283,98,undirected
1509,3288,7,undirected
1509,33,12,undirected
1509,36,149,undirected
1509,3637,3,undirected
1509,46,21,undirected
1509,47,3,undirected
1509,51,12,undirected
1509,52,64,undirected
1509,53,65,undirected
1509,54,98,undirected
1509,58,83,undirected
1509,61,65,undirected
1509,62,9,undirected
1509,63,48,undirected
1509,68,74,undirected
1509,71,102,undirected
1509,72,3,undirected
1509,727,98,undirected
1509,729,9,undirected
1509,73,86,undirected
1509,77,7,undirected
1509,78,9,undirected
1509,81,78,undirected
1509,832,149,undirected
1509,84,60,undirected
1509,96,9,undirected
1529,1536,98,undirected
1529,1572,127,undirected
1529,1573,111,undirected
1529,1575,111,undirected
1529,1576,101,undirected
1529,1579,110,undirected
1529,1697,98,undirected
1529,17,13,undirected
1529,1721,127,undirected
1529,1722,95,undirected
1529,1808,98,undirected
1529,1821,127,undirected
1529,1824,216,undirected
1529,1858,98,undirected
1529,1895,127,undirected
1529,1896,216,undirected
1529,2069,98,undirected
1529,2170,98,undirected
1529,2186,15,undirected
1529,2197,95,undirected
1529,2200,216,undirected
1529,2258,98,undirected
1529,2492,50,undirected
1529,25,28,undirected
