author_id,first_name,last_name,status,last_known_institution,google_scholar,orcid,openalex
1125,Ali,Versluis,practitioner,University of Guelph,"""https://scholar.google.com/citations?hl=en&user=lz2BdQkAAAAJ""","""https://orcid.org/0000-0003-0690-9859""",NA
1126,Alain,Lamothe,practitioner,Laurentian University,NA,"""https://orcid.org/0000-0001-8389-1993""",NA
1127,Brent,Roe,practitioner,Laurentian University,NA,"""https://orcid.org/0000-0002-2490-0922""",NA
1128,Daniel,Scott,practitioner,Laurentian University,NA,NA,NA
1129,Desmond,Maley,practitioner,Laurentian University,"""https://scholar.google.com/citations?hl=en&user=8mwW-VMAAAAJ""","""https://orcid.org/0000-0003-0919-4836""",NA
113,Nikki,Tummon,practitioner,McGill University,"""https://scholar.google.com/citations?hl=en&user=dBFLGpIAAAAJ""","""https://orcid.org/0000-0003-4208-1171""",NA
1130,Leila,Saadaoui,practitioner,Laurentian University,NA,NA,NA
1131,Leila,Wallenius,practitioner,Laurentian University,NA,NA,NA
1132,Marthe,Brown,practitioner,Laurentian University,NA,NA,NA
1133,Paul,Laverdure,practitioner,University of Sudbury,"""https://scholar.google.com/citations?hl=en&user=dvz_jR8AAAAJ""",NA,NA
1134,Jodi,Aoki,practitioner,Trent University,NA,NA,NA
1135,Vickie,Albrecht,practitioner,Trent University,NA,"""https://orcid.org/0000-0003-3549-9748""",NA
1136,Robert F.,Clarke,practitioner,Trent University,NA,NA,NA
1137,Dwayne,Collins,practitioner,Trent University,NA,"""https://orcid.org/0000-0002-4406-5995""",NA
1138,Coralee,Leroux,practitioner,Trent University,NA,NA,NA
1139,Ellen,Olsen-Lynch,practitioner,Trent University,NA,NA,NA
114,Clara,Turp,practitioner,McGill University,"""https://scholar.google.com/citations?hl=en&user=aqx9_C8AAAAJ""","""https://orcid.org/0000-0002-4472-7549""",NA
1140,Allison,Ridgway,practitioner,Trent University,NA,NA,NA
1141,Geoff,Sinclair,practitioner,Trent University,NA,NA,NA
1142,James,Watson,practitioner,Trent University,NA,NA,NA
1143,Barbara,Znamirowski,practitioner,Trent University,NA,NA,NA
1144,Lorna,Rourke,practitioner,St. Jerome's University,NA,NA,"https://openalex.org/A4201814659, https://openalex.org/A2706410756, https://openalex.org/A2343296246"
1145,Bonnie,Rudnisky,practitioner,St. Jerome's University,NA,NA,NA
1146,Kent,Murnaghan,practitioner,Canadian Memorial Chiropractic College (CMCC),NA,NA,NA
1147,Natalia,Tukhareli,practitioner,Canadian Memorial Chiropractic College (CMCC),NA,NA,"https://openalex.org/A2990020523, https://openalex.org/A2559860269, https://openalex.org/A341214057, https://openalex.org/A2990020523"
1148,Steve,Zoltai,practitioner,Canadian Memorial Chiropractic College (CMCC),NA,NA,NA
1149,Elaina,St. Onge,practitioner,Campion College at the University of Regina,NA,NA,NA
115,Natalie,Waters,practitioner,McGill University,NA,"""https://orcid.org/0000-0001-5734-5286""",NA
1150,Afra,Bolefski,practitioner,University of Manitoba,"""https://scholar.google.ca/citations?hl=en&user=0eardWcAAAAJ""","""https://orcid.org/0000-0002-4173-1139""",NA
1151,Alex,Snukal,practitioner,University of Manitoba,NA,"""https://orcid.org/0000-0002-8106-0157""",NA
1152,Asako,Yoshida,practitioner,University of Manitoba,NA,NA,NA
1153,Ashley,Huot,practitioner,University of Manitoba,NA,"""https://orcid.org/0000-0002-9581-0086""",NA
1154,Benjamin,Dueck,practitioner,University of Manitoba,"""https://scholar.google.ca/citations?hl=en&user=_ewZyTsAAAAJ""","""https://orcid.org/0000-0003-1726-817X""",NA
1155,Brian,Hubner,practitioner,University of Manitoba,NA,NA,NA
1156,Caralie,Heinrichs,practitioner,University of Manitoba,NA,NA,https://openalex.org/A3177700796
1157,Carla,Epp,practitioner,University of Manitoba,"""https://scholar.google.ca/citations?hl=en&user=i0Iap_MAAAAJ""","""https://orcid.org/0000-0002-7336-3991""",NA
1158,Carol,Cooke,practitioner,University of Manitoba,"""https://scholar.google.ca/citations?hl=en&user=IJ-z2WEAAAAJ""","""https://orcid.org/0000-0002-6852-4068""",NA
1159,Caroline,Monnin,practitioner,University of Manitoba,"""https://scholar.google.ca/citations?hl=en&user=zhGjeN0AAAAJ""","""https://orcid.org/0000-0001-7445-0969""",NA
116,Lonnie,Weatherby,practitioner,McGill University,NA,NA,NA
1160,Christine,Bone,practitioner,University of Manitoba,NA,"""https://orcid.org/0000-0003-4868-124X""",NA
1161,Christine,Neilson,practitioner,University of Manitoba,NA,"""https://orcid.org/0000-0002-0525-737X""",NA
1162,Christine,Shaw,practitioner,University of Manitoba,NA,NA,NA
1163,Cody,Fullerton,practitioner,University of Manitoba,"""https://scholar.google.ca/citations?hl=en&user=bAi4HaQAAAAJ""","""https://orcid.org/0000-0002-4018-4137""",NA
1164,Cynthia,Dietz,practitioner,University of Manitoba,NA,NA,NA
1165,Donna,Sikorsky,practitioner,University of Manitoba,NA,NA,NA
1166,Ellen,Tisdale,practitioner,University of Manitoba,NA,NA,NA
1167,Elliot,Hanowski,practitioner,University of Manitoba,NA,"""https://orcid.org/0000-0001-6759-4649""",NA
1168,Emma,Popowich,practitioner,University of Manitoba,NA,NA,NA
1169,Evelyn,Bruneau,practitioner,University of Manitoba,NA,NA,NA
117,Amanda,Wheatley,practitioner,McGill University,"""https://scholar.google.com/citations?hl=en&user=eNjNm1EAAAAJ""","""https://orcid.org/0000-0003-3502-7855""",NA
1170,Grace,Romund,practitioner,University of Manitoba,NA,"""https://orcid.org/0000-0002-4311-680X""",NA
1171,Hal,Loewen,practitioner,University of Manitoba,"""https://scholar.google.ca/citations?hl=en&user=D7sL8mQAAAAJ""","""https://orcid.org/0000-0003-3621-1304""",NA
1172,Haleh,Rajabi,practitioner,University of Manitoba,"""https://scholar.google.ca/citations?hl=en&user=Q305OSIAAAAJ""",NA,NA
1173,Heather,Bidzinski,practitioner,University of Manitoba,NA,NA,NA
1174,James,Kominowski,practitioner,University of Manitoba,NA,NA,NA
1175,Janet,Rothney,practitioner,University of Manitoba,"""https://scholar.google.ca/citations?hl=en&user=tqlva1kAAAAJ""","""https://orcid.org/0000-0002-7488-6030""",NA
1176,Janice,Linton,practitioner,University of Manitoba,"""https://scholar.google.ca/citations?hl=en&user=Sq4hG5AAAAAJ""","""https://orcid.org/0000-0002-3210-9022""",NA
1177,Janice,Winkler,practitioner,University of Manitoba,NA,"""https://orcid.org/0000-0002-3973-0508""",NA
1178,Jennifer,Ticknor,practitioner,University of Manitoba,NA,NA,NA
1179,Jordan,Bass,practitioner,University of Manitoba,"""https://scholar.google.ca/citations?hl=en&user=Tb3-vrsAAAAJ""","""https://orcid.org/0000-0003-0184-4400""",NA
118,Lauren,Williams,practitioner,McGill University,NA,NA,NA
1180,Justin,Fuhr,practitioner,University of Manitoba,"""https://scholar.google.com/citations?hl=en&user=0WE_soIAAAAJ""","""https://orcid.org/0000-0001-8144-812X""",NA
1181,Katherine,Penner,practitioner,University of Manitoba,NA,"""https://orcid.org/0000-0002-9601-1403""",NA
1182,Katrin,Nielsdottir,practitioner,University of Manitoba,NA,NA,NA
1183,Kristin,Kruse,practitioner,University of Manitoba,NA,NA,NA
1184,Kyle,Feenstra,practitioner,University of Manitoba,"""https://scholar.google.com/citations?hl=en&user=YBZbpUkAAAAJ""","""https://orcid.org/0000-0002-9468-5674""",NA
1185,Les,Moor,practitioner,University of Manitoba,NA,"""https://orcid.org/0000-0001-7976-7885""",NA
1186,Liv,Valmestad,practitioner,University of Manitoba,NA,NA,NA
1187,Lori,Giles-Smith,practitioner,University of Manitoba,NA,"""https://orcid.org/0000-0002-2248-9164""",NA
1188,Lyle,Ford,practitioner,University of Manitoba,"""https://scholar.google.com/citations?hl=en&user=W85eu4gAAAAJ""",NA,NA
1189,Marie,Speare,practitioner,University of Manitoba,"""https://scholar.google.com/citations?hl=en&user=Fs-xF4gAAAAJ""","""https://orcid.org/0000-0003-0766-2763""",NA
119,Carole,Urbain,practitioner,McGill University,NA,NA,NA
1190,Matthew,Renaud,practitioner,University of Manitoba,NA,"""https://orcid.org/0000-0002-8262-820X""",NA
1191,Maureen,Babb,practitioner,University of Manitoba,"""https://scholar.google.com/citations?hl=en&user=uXgmONEAAAAJ""","""https://orcid.org/0000-0002-3493-2522""",NA
1192,Meg,Miller,practitioner,University of Manitoba,NA,"""https://orcid.org/0000-0001-9482-469X""",NA
1193,Melissa,Raynard,practitioner,University of Manitoba,NA,"""https://orcid.org/0000-0003-4361-5542""",NA
1194,Me-Linh,Le,practitioner,University of Manitoba,"""https://scholar.google.com/citations?hl=en&user=ucmh4L4AAAAJ""","""https://orcid.org/0000-0002-7757-290X""",NA
