"","sm_code","publication_year","type","count","n_cits"
"10491",20,2001,"journal-article",113,637
"10492",20,2002,"journal-article",97,367
"10493",20,2003,"journal-article",116,550
"10494",20,2004,"journal-article",284,2189
"10495",20,2005,"journal-article",175,640
"10496",20,2006,"journal-article",224,871
"10497",20,2007,"journal-article",183,713
"10498",20,2008,"journal-article",114,121
"10499",20,2009,"journal-article",85,115
"10500",20,2010,"journal-article",50,31
"10501",20,2011,"journal-article",23,8
"10502",20,2012,"journal-article",18,9
"10503",20,2013,"journal-article",24,2
"10504",20,2014,"journal-article",848,3992
"10505",20,2015,"journal-article",65,172
"10506",20,2015,"posted-content",9,31
"10507",20,2016,"journal-article",27,7
"10508",20,2016,"posted-content",3,15
"10509",20,2017,"journal-article",15,0
"10510",20,2018,"journal-article",14,10
"10511",20,2019,"journal-article",11,4
"10512",20,2020,"journal-article",7,0
"10513",20,2021,"journal-article",62,36
"10514",64,2012,"posted-content",39,373
"10515",64,2013,"journal-article",645,1410
"10516",64,2013,"other",2,0
"10517",64,2013,"posted-content",36,594
"10518",64,2014,"journal-article",747,1178
"10519",64,2014,"posted-content",41,315
"10520",64,2015,"journal-article",413,756
"10521",64,2015,"posted-content",47,367
"10522",64,2015,NA,2,9
"10523",64,2016,"journal-article",664,839
"10524",64,2016,"posted-content",7,39
"10525",64,2017,"journal-article",437,531
"10526",64,2017,"posted-content",2,0
"10527",64,2017,NA,1,0
"10528",64,2018,"journal-article",285,362
"10529",64,2018,"posted-content",1,1
"10530",64,2019,"journal-article",241,149
"10531",64,2019,"posted-content",1,6
"10532",64,2020,"book-chapter",1,0
"10533",64,2020,"journal",1,0
"10534",64,2020,"journal-article",331,119
"10535",64,2020,"posted-content",7,13
"10536",64,2021,"journal",7,0
"10537",64,2021,"journal-article",1111,147
"10538",64,2021,"posted-content",8,12
"10539",64,2021,NA,76,16
"10540",64,2022,"journal-article",183,67
"10541",64,2022,"posted-content",1,0
"10542",82,1879,"journal-article",66,365
"10543",82,1880,"journal-article",55,147
"10544",82,1881,"journal-article",42,230
"10545",82,1882,"journal-article",29,189
"10546",82,1883,"journal-article",50,312
"10547",82,1884,"journal-article",42,163
"10548",82,1885,"journal-article",45,409
"10549",82,1886,"journal-article",55,257
"10550",82,1887,"journal-article",49,168
"10551",82,1888,"journal-article",39,224
"10552",82,1889,"journal-article",56,273
"10553",82,1890,"journal-article",50,256
"10554",82,1891,"journal-article",52,154
"10555",82,1892,"journal-article",47,212
"10556",82,1893,"journal-article",51,439
"10557",82,1894,"journal-article",36,289
"10558",82,1895,"journal-article",51,398
"10559",82,1896,"journal-article",46,256
"10560",82,1897,"journal-article",53,169
"10561",82,1898,"journal-article",55,301
"10562",82,1899,"journal-article",41,172
"10563",82,1900,"journal-article",34,211
"10564",82,1901,"journal-article",36,173
"10565",82,1902,"journal-article",36,192
"10566",82,1903,"journal-article",38,244
"10567",82,1904,"journal-article",28,247
"10568",82,1905,"journal-article",34,260
"10569",82,1906,"journal-article",42,247
"10570",82,1907,"journal-article",41,967
"10571",82,1908,"journal-article",31,309
"10572",82,1909,"journal-article",34,168
"10573",82,1910,"journal-article",32,371
"10574",82,1911,"journal-article",51,380
"10575",82,1912,"journal-article",27,210
"10576",82,1913,"journal-article",39,359
"10577",82,1914,"journal-article",29,234
"10578",82,1915,"journal-article",37,311
"10579",82,1916,"journal-article",30,533
"10580",82,1917,"journal-article",27,259
"10581",82,1918,"journal-article",26,356
"10582",82,1919,"journal-article",23,273
"10583",82,1920,"journal-article",35,460
"10584",82,1921,"journal-article",17,454
"10585",82,1922,"journal-article",26,292
"10586",82,1923,"journal-article",38,258
"10587",82,1924,"journal-article",44,504
"10588",82,1925,"journal-article",45,412
"10589",82,1926,"journal-article",43,631
"10590",82,1927,"journal-article",46,556
"10591",82,1928,"journal-article",37,487
"10592",82,1929,"journal-article",48,490
"10593",82,1930,"journal-article",61,1070
"10594",82,1931,"journal-article",51,579
"10595",82,1932,"journal-article",53,1020
"10596",82,1933,"journal-article",59,924
"10597",82,1934,"journal-article",68,857
"10598",82,1935,"journal-article",52,843
"10599",82,1936,"journal-article",55,891
"10600",82,1937,"journal-article",51,693
"10601",82,1938,"journal-article",72,789
"10602",82,1939,"journal-article",52,833
"10603",82,1940,"journal-article",51,990
"10604",82,1941,"journal-article",38,966
"10605",82,1942,"journal-article",34,950
"10606",82,1943,"journal-article",20,690
"10607",82,1944,"journal-article",27,1291
"10608",82,1945,"journal-article",22,621
"10609",82,1946,"journal-article",391,1859
"10610",82,1947,"journal-article",352,1877
"10611",82,1948,"journal-article",144,1155
"10612",82,1949,"journal-article",82,864
"10613",82,1950,"journal-article",65,1368
"10614",82,1951,"journal-article",166,1249
"10615",82,1952,"journal-article",151,2402
"10616",82,1953,"journal-article",145,3541
"10617",82,1954,"journal-article",154,2395
"10618",82,1955,"journal-article",151,1969
"10619",82,1956,"journal-article",158,2214
"10620",82,1957,"journal-article",127,2435
"10621",82,1958,"journal-article",106,2025
"10622",82,1959,"journal-article",172,3967
"10623",82,1960,"journal-article",142,1850
"10624",82,1961,"journal-article",159,2905
"10625",82,1962,"journal-article",157,5319
"10626",82,1963,"journal-article",301,3039
"10627",82,1964,"journal-article",326,4117
"10628",82,1965,"journal-article",366,5285
"10629",82,1966,"journal-article",429,3364
"10630",82,1967,"journal-article",403,4627
"10631",82,1968,"journal-article",442,4301
"10632",82,1969,"journal-article",580,6974
"10633",82,1970,"journal-article",618,6042
"10634",82,1971,"journal-article",526,6048
"10635",82,1972,"journal-article",569,5769
"10636",82,1973,"journal-article",617,4333
"10637",82,1974,"journal-article",525,3136
"10638",82,1975,"journal-article",523,3786
"10639",82,1976,"journal-article",539,3128
"10640",82,1977,"journal-article",478,4966
"10641",82,1978,"journal-article",522,4869
"10642",82,1979,"journal-article",513,4066
"10643",82,1980,"journal-article",538,4249
"10644",82,1981,"journal-article",486,3516
"10645",82,1982,"journal-article",484,4983
"10646",82,1983,"journal-article",423,4336
"10647",82,1984,"journal-article",443,4126
"10648",82,1985,"journal-article",448,3329
"10649",82,1986,"journal-article",407,3929
"10650",82,1987,"journal-article",404,6849
"10651",82,1988,"journal-article",399,4056
"10652",82,1989,"journal-article",386,3876
"10653",82,1990,"journal-article",425,4674
"10654",82,1991,"journal-article",414,4459
"10655",82,1992,"journal-article",330,3233
"10656",82,1993,"journal-article",351,3440
"10657",82,1994,"journal-article",348,4976
"10658",82,1995,"journal-article",393,5445
"10659",82,1996,"journal-article",513,4750
"10660",82,1997,"journal-article",274,304
"10661",82,1998,"journal-article",331,692
"10662",82,1999,"journal-article",307,435
"10663",82,2000,"journal-article",342,776
"10664",82,2001,"journal-article",329,683
"10665",82,2002,"journal-article",398,2269
"10666",82,2003,"journal-article",372,1124
"10667",82,2004,"journal-article",472,906
"10668",82,2005,"journal-article",310,1260
"10669",82,2006,"journal-article",265,1122
"10670",82,2007,"journal-article",346,829
"10671",82,2008,"journal-article",256,714
"10672",82,2009,"journal-article",213,718
"10673",82,2010,"journal",1,0
"10674",82,2010,"journal-article",177,506
"10675",82,2011,"journal-article",213,631
"10676",82,2012,"journal-article",206,559
"10677",82,2013,"journal-article",217,183
"10678",82,2014,"journal-article",186,158
"10679",82,2015,"journal-article",158,147
"10680",82,2016,"journal-article",106,67
"10681",82,2017,"journal-article",102,46
"10682",82,2018,"journal-article",131,107
"10683",82,2019,"journal-article",194,50
"10684",82,2020,"journal-article",197,28
"10685",82,2020,NA,7,0
"10686",82,2021,"journal-article",327,95
"10687",82,2021,NA,5,0
"10688",82,2022,"journal-article",83,5
"10689",82,2022,"other",1,0
"10690",41,1800,"journal-article",1,0
"10691",41,1849,"journal-article",1,0
"10692",41,1850,"journal-article",41,0
"10693",41,1851,"journal-article",7,0
"10694",41,1852,"journal-article",40,0
"10695",41,1853,"journal-article",6,0
"10696",41,1854,"journal-article",2,0
"10697",41,1855,"journal-article",5,0
"10698",41,1856,"journal-article",9,0
"10699",41,1857,"journal-article",11,0
"10700",41,1858,"journal-article",2,0
"10701",41,1859,"journal-article",12,0
"10702",41,1860,"journal-article",3,0
"10703",41,1861,"journal-article",3,0
"10704",41,1862,"journal-article",60,0
"10705",41,1863,"journal-article",3,0
"10706",41,1864,"journal-article",36,0
"10707",41,1865,"journal-article",31,0
"10708",41,1866,"journal-article",3,0
"10709",41,1867,"journal-article",5,0
"10710",41,1868,"journal-article",2,0
"10711",41,1870,"journal-article",2,0
"10712",41,1871,"journal-article",6,0
"10713",41,1872,"journal-article",19,2
"10714",41,1873,"journal-article",40,0
"10715",41,1874,"journal-article",14,1
"10716",41,1875,"journal-article",40,2
"10717",41,1876,"journal-article",101,0
"10718",41,1877,"journal-article",8,1
"10719",41,1878,"journal-article",7,22
"10720",41,1879,"journal-article",7,0
"10721",41,1880,"journal-article",300,0
"10722",41,1880,"posted-content",1,0
